K12D0555_H0513:1b-0	@1b [dd] #//	[dd]_4 
K12D0555_H0513:1b-1	rgya yi skad du /	rgya_0 yi_5 skad_8 du_13 
K12D0555_H0513:1b-2	t'a shin kyin kvang mya ru tsa'i shin wad kyin /	t_0 shin_4 kyin_9 kvang_14 mya_20 ru_24 tsa_27 shin_33 wad_38 kyin_42 
K12D0555_H0513:1b-3	bod [dd] skad du /	'bod_0 [dd]_4 skad_9 du_14 
K12D0555_H0513:1b-4	'phags pa gser 'od dam pa mchog tu rnam par	'phag_0 ba_7 gser_10 'od_15 dam_19 ba_23 mchog_26 tu_32 rnam_35 ba_40 
K12D0555_H0513:1b-5	rgyal ba mdo sde'i rgyal po zhes bya ba theg	rgyal_0 ba_6 mdo_9 sde_13 rgyal_19 po_25 zhes_28 byed_33 ba_37 theg_40 
K12D0555_H0513:1b-6	pa chen po'i mdo /	ba_0 chen_3 po_8 mdo_13 
K12D0555_H0513:1b-7	bam po dang po /	bam_0 po_4 dang_7 po_12 
K12D0555_H0513:1b-8	sangs rgyas dang /	sangs_0 rgya_6 dang_12 
K12D0555_H0513:1b-9	byang chub sems dpa' thams cad la phyag 'tshal lo //	byang_0 chub_6 sems_11 dpa'_16 thams_21 cad_27 la_31 phyag_34 'tshal_40 lo_47 
K12D0555_H0513:2a-0	'di skad bdag gis @2a #//	'di_0 skad_4 bdag_9 gis_14 
K12D0555_H0513:2a-1	thos pa dus gcig na /	thos_0 ba_5 dus_8 gcig_12 na_17 
K12D0555_H0513:2a-2	bcom ldan 'das rgyal po'i khab bya rgod phung po'i ri'i rtse mo mchog tu rnam par dag pa /	'joms_0 ldan_5 'da'_10 rgyal_15 po_21 khab_26 byed_31 rgod_35 'phung_40 po_46 ri_51 rtse_56 mo_61 mchog_64 tu_70 rnam_73 ba_78 'dag_82 ba_86 
K12D0555_H0513:2a-3	chos kyi dbyings shin tu zab mo /	chos_0 kyi_5 dbyings_9 shin_17 tu_22 zab_25 mo_29 
K12D0555_H0513:2a-4	sangs rgyas rnams kyi spyod yul /	sangs_0 rgya_6 rnams_12 kyi_18 spyod_22 yul_28 
K12D0555_H0513:2a-5	de bzhin gshegs pa bzhugs pa na /	de_0 bzhin_3 gshegs_9 ba_16 bzhugs_19 ba_26 na_29 
K12D0555_H0513:2a-6	dge slong gi dge 'dun chen po dgu khri brgyad stong dang thabs gcig tu bzhugs te /	dge_0 slong_4 gi_10 dge_13 'dun_17 chen_22 po_27 dgu_30 khri_34 brgyad_39 stong_46 dang_52 thabs_57 gcig_63 tu_68 bzhugs_71 te_78 
K12D0555_H0513:2a-7	thams cad kyang dgra bcom pa /	thams_0 cad_6 kyang_10 dgra_16 'joms_21 ba_26 
K12D0555_H0513:2a-8	glang po che'i rgyal po ltar shin tu dul ba /	glang_0 po_6 che_9 rgyal_15 po_21 ltar_24 shin_29 tu_34 dul_37 ba_41 
K12D0555_H0513:2a-9	zag pa rnams yongs su gsal ba /	zag_0 ba_4 rnams_7 yongs_13 su_19 gsal_22 ba_27 
K12D0555_H0513:2a-10	nyon mongs pa med pa /	nyon_0 mongs_5 ba_11 med_14 ba_18 
K12D0555_H0513:2b-0	sems shin tu rnam @2b par grol ba /	sems_0 shin_5 tu_10 rnam_13 ba_22 grol_26 ba_31 
K12D0555_H0513:2b-1	shes rab shin tu rnam par grol ba /	shes_0 rab_5 shin_9 tu_14 rnam_17 ba_22 grol_26 ba_31 
K12D0555_H0513:2b-2	bya ba byas pa /	byed_0 ba_4 byed_7 ba_12 
K12D0555_H0513:2b-3	khur lci ba rnam par spangs pa /	'khur_0 lci_5 ba_9 rnam_12 ba_17 spong_21 ba_28 
K12D0555_H0513:2b-4	bdag gi don thob pa /	bdag_0 gi_5 don_8 'thob_12 ba_17 
K12D0555_H0513:2b-5	srid par kun tu sbyor ba zad pa /	srid_0 ba_5 kun_9 tu_13 sbyor_16 ba_22 zad_25 ba_29 
K12D0555_H0513:2b-6	rang dbang chen po thob pa /	rang_0 dbang_5 chen_11 po_16 'thob_19 ba_24 
K12D0555_H0513:2b-7	tshul khrims yongs su dag pa la gnas pa /	tshul_0 khrims_6 yongs_13 su_19 'dag_22 ba_26 la_29 gnas_32 ba_37 
K12D0555_H0513:2b-8	thabs mkhas pa dang /	thabs_0 mkhas_6 ba_12 dang_15 
K12D0555_H0513:2b-9	shes rab kyis yongs su brgyan pa /	shes_0 rab_5 kyis_9 yongs_14 su_20 rgyan_23 ba_30 
K12D0555_H0513:2b-10	rnam par thar pa brgyad mngon sum du gyur pa /	rnam_0 ba_5 thar_9 ba_14 brgyad_17 mngon_24 sum_30 du_34 gyur_37 ba_42 
K12D0555_H0513:2b-11	pha rol gyi 'gram du phyin pa sha stag la /	pha_0 rol_4 gyi_8 'grams_12 du_18 phyin_21 ba_27 sha_30 stag_34 la_39 
K12D0555_H0513:2b-12	'di lta ste /	'di_0 lta_4 ste_8 
K12D0555_H0513:2b-13	tshe dang ldan pa kun shes koondin+ya dang /	tshe_0 dang_5 ldan_10 ba_15 kun_18 shes_22 koondin_27 ya_35 dang_38 
K12D0555_H0513:2b-14	tshe dang ldan pa rta thul dang /	tshe_0 dang_5 ldan_10 ba_15 rta_18 thul_22 dang_27 
K12D0555_H0513:2b-15	tshe dang ldan pa rlangs pa dang /	tshe_0 dang_5 ldan_10 ba_15 rlangs_18 ba_25 dang_28 
K12D0555_H0513:2b-16	tshe dang ldan pa ming chen dang /	tshe_0 dang_5 ldan_10 ba_15 ming_18 chen_23 dang_28 
K12D0555_H0513:2b-17	tshe dang ldan pa bzang po dang /	tshe_0 dang_5 ldan_10 ba_15 bzang_18 po_24 dang_27 
K12D0555_H0513:2b-18	tshe dang ldan pa 'od srung chen po dang /	tshe_0 dang_5 ldan_10 ba_15 'od_18 srung_22 chen_28 po_33 dang_36 
K12D0555_H0513:2b-19	tshe dang ldan pa lteng rgyas 'od srung dang /	tshe_0 dang_5 ldan_10 ba_15 lteng_18 rgya_24 'od_30 srung_34 dang_40 
K12D0555_H0513:2b-20	tshe dang ldan pa ga y'a 'od srung dang /	tshe_0 dang_5 ldan_10 ba_15 ga_18 y_21 'od_25 srung_29 dang_35 
K12D0555_H0513:3a-0	tshe dang ldan pa chu klung 'od srung @3a *//	tshe_0 dang_5 ldan_10 ba_15 chu_18 klung_22 'od_28 srung_32 
K12D0555_H0513:3a-1	dang /	dang_0 
K12D0555_H0513:3a-2	tshe dang ldan pa sh'a ri'i bu dang /	tshe_0 dang_5 ldan_10 ba_15 sh_18 ri_23 bu_28 dang_31 
K12D0555_H0513:3a-3	che dang ldan pa mood gal gyi bu chen po dang /	che_0 dang_4 ldan_9 ba_14 mood_17 gal_22 gyi_26 bu_30 chen_33 po_38 dang_41 
K12D0555_H0513:3a-4	tshe dang ldan pa kun dga' bo 'ba' zhig slob pa'i sa la gnas pa ni ma gtogs te /	tshe_0 dang_5 ldan_10 ba_15 kun_18 dga'_22 'bo_27 'ba'_30 'jig_35 slob_40 ba_45 sa_50 la_53 gnas_56 ba_61 ni_64 ma_67 gtogs_70 te_76 
K12D0555_H0513:3a-5	'di ltar nyan thos chen po de dag so so nas phyi dro'i dus kyi tshe /	'di_0 ltar_4 nyan_9 thos_14 chen_19 po_24 de_27 'dag_30 so_34 so_37 nas_40 phyi_44 dro_49 dus_55 kyi_59 tshe_63 
K12D0555_H0513:3a-6	snyoms par 'jug par zhugs pa las langs nas /	snyom_0 ba_7 'jug_11 ba_16 'jug_20 ba_26 las_29 ldang_33 nas_39 
K12D0555_H0513:3a-7	bcom ldan 'das ga la ba de logs su dong	'joms_0 ldan_5 'da'_10 ga_15 la_18 ba_21 de_24 logs_27 su_32 'dong_35 
K12D0555_H0513:3a-8	ste; bcom ldan 'das kyi zhabs la mgo bos phyag	ste;_0 'joms_5 ldan_10 'da'_15 kyi_20 zhabs_24 la_30 mgo_33 'bod_37 phyag_41 
K12D0555_H0513:3a-9	byas nas / g-yas phyogs nas lan gsum bskor ba byas te /	byed_0 nas_5 g-yas_11 phyogs_17 nas_24 lan_28 gsum_32 skor_37 ba_43 byed_46 te_51 
K12D0555_H0513:3a-10	phyogs gcig tu 'khod par gyur to //	phyogs_0 gcig_7 tu_12 'khod_15 ba_21 gyur_25 to_30 
K12D0555_H0513:3a-11	gzhan yang /	gzhan_0 yang_6 
K12D0555_H0513:3a-12	byang chub sems dpa' sems dpa' chen po bye ba	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 'bye_39 ba_43 
K12D0555_H0513:3a-13	phrag brgya stong du ma dang thabs gcig tu bzhugs	phrag_0 brgya_6 stong_12 du_18 ma_21 dang_24 thabs_29 gcig_35 tu_40 bzhugs_43 
K12D0555_H0513:3a-14	te / thams cad kyang gzi byin dang po'i yon tan dang ldan pa /	te_0 thams_5 cad_11 kyang_15 gzi_21 byin_25 dang_30 po_35 yon_40 tan_44 dang_48 ldan_53 ba_58 
K12D0555_H0513:3b-0	klu'i rgyal po chen po ltar @3b gyur pa /	klu_0 rgyal_6 po_12 chen_15 po_20 ltar_23 gyur_32 ba_37 
K12D0555_H0513:3b-1	thams cad kun tu grags pa /	thams_0 cad_6 kun_10 tu_14 grags_17 ba_23 
K12D0555_H0513:3b-2	thams cad cang shes par gyur pa /	thams_0 cad_6 cang_10 shes_15 ba_20 gyur_24 ba_29 
