K04D0012_H0011:1b-0	@1b [dd] *//	[dd]_4 
K04D0012_H0011:1b-1	rgya gar skad [dd] du /	rgya_0 gar_5 skad_9 [dd]_14 du_19 
K04D0012_H0011:1b-2	a'arya aashta sa ha sri k'a pra dzny'a pa ra mi t'a /	a_0 aashta_7 sa_14 ha_17 sri_20 k_24 pra_28 dzny_32 ba_39 ra_42 mi_45 t_48 
K04D0012_H0011:1b-3	bod skad du /	'bod_0 skad_4 du_9 
K04D0012_H0011:1b-4	'phags pa shes rab kyi pha rol tu phyin pa brgyad stong pa /	'phag_0 ba_7 shes_10 rab_15 kyi_19 pha_23 rol_27 tu_31 phyin_34 ba_40 brgyad_43 stong_50 ba_56 
K04D0012_H0011:1b-5	bam po dang po /	bam_0 po_4 dang_7 po_12 
K04D0012_H0011:2a-0	sangs rgyas dang byang chub sems [dd] @2a [dd] *//	sangs_0 rgya_6 dang_12 byang_17 chub_23 sems_28 [dd]_33 [dd]_42 
K04D0012_H0011:2a-1	dpa' dang /	dpa'_0 dang_5 
K04D0012_H0011:2a-2	'phags pa nyan thos dang rang sangs rgyas thams cad la phyag 'tshal lo //	'phag_0 ba_7 nyan_10 thos_15 dang_20 rang_25 sangs_30 rgya_36 thams_42 cad_48 la_52 phyag_55 'tshal_61 lo_68 
K04D0012_H0011:2a-3	'di skad bdag gis thos pa dus gcig na /	'di_0 skad_4 bdag_9 gis_14 thos_18 ba_23 dus_26 gcig_30 na_35 
K04D0012_H0011:2a-4	bcom ldan 'das rgyal po'i khab na bya rgod kyi phung po'i ri la bzhugs te /	'joms_0 ldan_5 'da'_10 rgyal_15 po_21 khab_26 na_31 byed_34 rgod_38 kyi_43 'phung_47 po_53 ri_58 la_61 bzhugs_64 te_71 
K04D0012_H0011:2a-5	dge slong stong nyis brgya lnga bcu'i dge slong gi dge 'dun chen po dag dang thabs cig go /	dge_0 slong_4 stong_10 nyis_16 brgya_21 lnga_27 'chu_32 dge_38 slong_42 gi_48 dge_51 'dun_55 chen_60 po_65 'dag_68 dang_72 thabs_77 cig_83 go_87 
K04D0012_H0011:2a-6	thams cad kyang dgra bcom pa /	thams_0 cad_6 kyang_10 dgra_16 'joms_21 ba_26 
K04D0012_H0011:2a-7	zag pa zad pa /	zag_0 ba_4 zad_7 ba_11 
K04D0012_H0011:2a-8	nyon mongs pa med pa /	nyon_0 mongs_5 ba_11 med_14 ba_18 
K04D0012_H0011:2a-9	dbang du gyur pa /	dbang_0 du_6 gyur_9 ba_14 
K04D0012_H0011:2b-0	[dd] @2b sems shin tu rnam par grol ba /	[dd]_0 sems_9 shin_14 tu_19 rnam_22 ba_27 grol_31 ba_36 
K04D0012_H0011:2b-1	shes rab shin tu rnam par grol ba /	shes_0 rab_5 shin_9 tu_14 rnam_17 ba_22 grol_26 ba_31 
K04D0012_H0011:2b-2	cang shes pa /	cang_0 shes_5 ba_10 
K04D0012_H0011:2b-3	glang po chen po /	glang_0 po_6 chen_9 po_14 
K04D0012_H0011:2b-4	bya ba byas pa /	byed_0 ba_4 byed_7 ba_12 
K04D0012_H0011:2b-5	byed pa byas pa /	byed_0 ba_5 byed_8 ba_13 
K04D0012_H0011:2b-6	khur bor ba /	'khur_0 'bor_5 ba_9 
K04D0012_H0011:2b-7	rang gi don rjes su thob pa /	rang_0 gi_5 don_8 rjes_12 su_17 'thob_20 ba_25 
K04D0012_H0011:2b-8	srid par kun tu sbyor ba yongs su zad pa /	srid_0 ba_5 kun_9 tu_13 sbyor_16 ba_22 yongs_25 su_31 zad_34 ba_38 
K04D0012_H0011:2b-9	yang dag par kun shes pas sems shin tu rnam par grol ba /	yang_0 'dag_5 ba_9 kun_13 shes_17 ba_22 sems_26 shin_31 tu_36 rnam_39 ba_44 grol_48 ba_53 
