K07D0045_H0045:1b-0	@1b [dd] #//	[dd]_4 
K07D0045_H0045:1b-1	rgya gar skad [dd] du /	rgya_0 gar_5 skad_9 [dd]_14 du_19 
K07D0045_H0045:1b-2	a'arya ma h'a ratna ku [dd] ta dharma pa rya	a_0 ma_7 h_10 ratna_14 ku_20 [dd]_23 ta_28 dharma_31 ba_38 rya_41 
K07D0045_H0045:1b-3	ya sha ta s'a ha sri ka gran the tri	ya_0 sha_3 ta_7 s_10 ha_14 sri_17 ka_21 gran_24 the_29 tri_33 
K07D0045_H0045:1b-4	samba ra ni ra de sha pa ri brta na	samba_0 ra_6 ni_9 ra_12 de_15 sha_18 ba_22 ri_25 rtas_28 na_33 
K07D0045_H0045:1b-5	n'a ma ma h'a y'a na s'u tra /	n_0 ma_4 ma_7 h_10 y_14 na_18 s_21 tra_25 
K07D0045_H0045:1b-6	bod skad du /	'bod_0 skad_4 du_9 
K07D0045_H0045:2a-0	'phags pa dkon mchog brtsegs @2a [dd] #//	'phag_0 ba_7 dkon(d)_10 mchog_15 brtsegs_21 [dd]_33 
K07D0045_H0045:2a-1	pa chen po'i chos kyi rnam grangs stong phrag brgya pa las /	ba_0 chen_3 po_8 chos_13 kyi_18 rnam_22 grangs_27 stong_34 phrag_40 brgya_46 ba_52 las_55 
K07D0045_H0045:2a-2	sdom [dd] pa gsum bstan pa'i le'u zhes bya ba theg pa chen po'i mdo /	sdom_0 [dd]_5 ba_10 gsum_13 ston_18 ba_24 le_29 zhes_34 byed_39 ba_43 theg_46 ba_51 chen_54 po_59 mdo_64 
K07D0045_H0045:2a-3	bam po dang po //	bam_0 po_4 dang_7 po_12 
K07D0045_H0045:2a-4	sangs rgyas dang /	sangs_0 rgya_6 dang_12 
K07D0045_H0045:2a-5	byang chub sems dpa' thams cad la phyag 'tshal lo //	byang_0 chub_6 sems_11 dpa'_16 thams_21 cad_27 la_31 phyag_34 'tshal_40 lo_47 
K07D0045_H0045:2a-6	'di skad bdag gis thos pa'i dus gcig na /	'di_0 skad_4 bdag_9 gis_14 thos_18 ba_23 dus_28 gcig_32 na_37 
K07D0045_H0045:2a-7	bcom ldan 'das rgyal po'i khab na /	'joms_0 ldan_5 'da'_10 rgyal_15 po_21 khab_26 na_31 
K07D0045_H0045:2a-8	bya rgod kyi phung po'i ri la bzhugs te /	byed_0 rgod_4 kyi_9 'phung_13 po_19 ri_24 la_27 bzhugs_30 te_37 
K07D0045_H0045:2a-9	ri'i rgyal po bya rgod kyi phung po de ni mtho ba /	ri_0 rgyal_5 po_11 byed_14 rgod_18 kyi_23 'phung_27 po_33 de_36 ni_39 mtho_42 ba_47 
K07D0045_H0045:2b-0	@2b zlum pa /	zlum_4 ba_9 
K07D0045_H0045:2b-1	gnam 'phang dang /	gnam_0 'phen_5 dang_12 
K07D0045_H0045:2b-2	rgyar yangs pa /	rgyar_0 yangs_6 ba_12 
K07D0045_H0045:2b-3	lo tog thams cad kyis 'dzin pa /	lo_0 tog_3 thams_7 cad_13 kyis_17 'dzin_22 ba_28 
K07D0045_H0045:2b-4	me tog dang /	me_0 tog_3 dang_7 
K07D0045_H0045:2b-5	phreng ba dang /	phreng_0 ba_7 dang_10 
K07D0045_H0045:2b-6	spos rnam pa sna tshogs dang ldan pa /	spros_0 rnam_5 ba_10 sna_13 tshogs_17 dang_24 ldan_29 ba_34 
K07D0045_H0045:2b-7	mi'am ci dang /	mi_0 ci_6 dang_9 
K07D0045_H0045:2b-8	skyes bu'am ci'i tshogs rnam par rgyu ba /	skye_0 bu_6 ci_12 tshogs_17 rnam_24 ba_29 rgyu_33 ba_38 
K07D0045_H0045:2b-9	gnod sbyin dang /	gnod_0 sbyin_5 dang_11 
K07D0045_H0045:2b-10	srin po dang /	srin_0 po_5 dang_8 
K07D0045_H0045:2b-11	sha za rnam pa mang po'i gnas so //	sha_0 za_4 rnam_7 ba_12 mang_15 po_20 gnas_25 so_30 
K07D0045_H0045:2b-12	ri dvags kyi tshogs kyang rnam par rgyu ba /	ri_0 dvags_3 kyi_9 tshogs_13 kyang_20 rnam_26 ba_31 rgyu_35 ba_40 
K07D0045_H0045:2b-13	'di lta ste /	'di_0 lta_4 ste_8 
K07D0045_H0045:2b-14	seng ge dang /	seng_0 ge_5 dang_8 
K07D0045_H0045:2b-15	stag dang /	stag_0 dang_5 
