K08D0044_H0094:1b-0	@1b [dd] #//	[dd]_4 
K08D0044_H0094:1b-1	rgya gar skad du /	rgya_0 gar_5 skad_9 du_14 
K08D0044_H0094:1b-2	a'arya [dd] buddha aa ba tang sa ka n'a ma ma h'a bee pu lyam s'u tra /	a_0 [dd]_7 buddha_12 aa_19 ba_22 tang_25 sa_30 ka_33 n_36 ma_40 ma_43 h_46 bee_50 pu_54 lyam_57 s_62 tra_66 
K08D0044_H0094:1b-3	bod skad du /	'bod_0 skad_4 du_9 
K08D0044_H0094:1b-4	'phags pa sangs rgyas phal po che zhes bya ba shin tu rgyas pa chen po'i mdo /	'phag_0 ba_7 sangs_10 rgya_16 phal_22 po_27 che_30 zhes_34 byed_39 ba_43 shin_46 tu_51 rgya_54 ba_60 chen_63 po_68 mdo_73 
K08D0044_H0094:1b-5	bam po dang po /	bam_0 po_4 dang_7 po_12 
K08D0044_H0094:1b-6	'di skad bdag gis thos pa dus gcig na /	'di_0 skad_4 bdag_9 gis_14 thos_18 ba_23 dus_26 gcig_30 na_35 
K08D0044_H0094:1b-7	bcom ldan 'das thog ma mngon par sangs rgyas pa /	'joms_0 ldan_5 'da'_10 thogs_15 ma_20 mngon_23 ba_29 sangs_33 rgya_39 ba_45 
K08D0044_H0094:2a-0	sangs rgyas kyi [dd] @2a [dd] #//	sangs_0 rgya_6 kyi_12 [dd]_16 [dd]_25 
K08D0044_H0094:2a-1	chos thams cad shin tu rnam par sangs rgyas pa'i dgongs pa mnga' ba /	chos_0 thams_5 cad_11 shin_15 tu_20 rnam_23 ba_28 sangs_32 rgya_38 ba_44 dgongs_49 ba_56 mnga'_59 ba_65 
K08D0044_H0094:2a-2	dus gsum mnyam pa nyid du thugs su chud pa'i ye shes kyi sku mnga' ba /	dus_0 gsum_4 mnyam_9 ba_15 nyid_18 du_23 thugs_26 su_32 chud_35 ba_40 ye_45 shes_48 kyi_53 sku_57 mnga'_61 ba_67 
K08D0044_H0094:2a-3	'jig rten gyi khams thams cad du skus shin tu khyab pa /	'jig_0 rten_5 gyi_10 khams_14 thams_20 cad_26 du_30 skus_33 shin_38 tu_43 khyab_46 ba_52 
K08D0044_H0094:2a-4	sangs rgyas kyi zhing thams cad du dbyangs kyi yan lag dang /	sangs_0 rgya_6 kyi_12 zhing_16 thams_22 cad_28 du_32 dbyangs_35 kyi_43 yan_47 lag_51 dang_55 
K08D0044_H0094:2a-5	gsung gi nga ro shin tu bsgrags pa /	gsung_0 gi_6 nga_9 ro_13 shin_16 tu_21 sgrog_24 ba_32 
K08D0044_H0094:2a-6	nam mkha' dang /	nam_0 mkha'_4 dang_10 
K08D0044_H0094:2a-7	nam mkha' lta bu'i mtshan nyid mnyam pa nyid du rab tu snang ba'i spyod yul can /	nam_0 mkha'_4 lta_10 bu_14 mtshan_19 nyid_26 mnyam_31 ba_37 nyid_40 du_45 rab_48 tu_52 snang_55 ba_61 spyod_66 yul_72 can_76 
K08D0044_H0094:2a-8	nam mkha' ltar 'gro ba thams cad kun khyab pa'i	nam_0 mkha'_4 ltar_10 'gro_15 ba_20 thams_23 cad_29 kun_33 khyab_37 ba_43 
K08D0044_H0094:2a-9	snying po byang chub thams cad la bzhugs pa'i sku	snying_0 po_7 byang_10 chub_16 thams_21 cad_27 la_31 bzhugs_34 ba_41 sku_46 
K08D0044_H0094:2b-0	/ byang chub sems dpa' rgya [dd] @2b mtsho thams cad kyi nang na rnam par snang ba /	byang_2 chub_8 sems_13 dpa'_18 rgya_23 [dd]_28 mtsho_37 thams_43 cad_49 kyi_53 nang_57 na_62 rnam_65 ba_70 snang_74 ba_80 
K08D0044_H0094:2b-1	'jig rten gyi khams thams cad du nyi ma'i dkyil 'khor ltar shar ba /	'jig_0 rten_5 gyi_10 khams_14 thams_20 cad_26 du_30 nyi_33 ma_37 dkyil_42 'khor_48 ltar_54 'char_59 ba_64 
K08D0044_H0094:2b-2	sangs rgyas kyi zhing thams cad du yongs su skye ba bstan pa rab tu spros pa /	sangs_0 rgya_6 kyi_12 zhing_16 thams_22 cad_28 du_32 yongs_35 su_41 skye_44 ba_49 ston_52 ba_58 rab_61 tu_65 spros_68 ba_74 
K08D0044_H0094:2b-3	dus gsum gyi bsod nams rgya chen po rgya mtsho lta bus spyod yul yongs su dag pa /	dus_0 gsum_4 gyi_9 bsod_13 nams_18 rgya_23 chen_28 po_33 rgya_36 mtsho_41 lta_47 'bud_51 spyod_55 yul_61 yongs_65 su_71 'dag_74 ba_78 
K08D0044_H0094:2b-4	'od kyi dkyil 'khor dang /	'od_0 kyi_4 dkyil_8 'khor_14 dang_20 
K08D0044_H0094:2b-5	'od zer kha dog mtha' yas pa mnga' ba /	'od_0 zer_4 kha_8 dog_12 mtha'_16 yas_22 ba_26 mnga'_29 ba_35 
