K02D0008_H0009:1b-0	@1b [dd] #//	[dd]_4 
K02D0008_H0009:1b-1	rgya gar skad [dd] du /	rgya_0 gar_5 skad_9 [dd]_14 du_19 
K02D0008_H0009:1b-2	sha ta sa ha sri ka pradzny'a p'a ra mi t'a /	sha_0 ta_4 sa_7 ha_10 sri_13 ka_17 pradzny_20 p_30 ra_34 mi_37 t_40 
K02D0008_H0009:1b-3	bod skad du /	'bod_0 skad_4 du_9 
K02D0008_H0009:1b-4	shes rab kyi pha rol tu phyin pa stong phrag brgya pa /	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 stong_33 phrag_39 brgya_45 ba_51 
K02D0008_H0009:1b-5	glegs bam thog ma /	glegs_0 bam_6 thogs_10 ma_15 
K02D0008_H0009:1b-6	bam po dang po /	bam_0 po_4 dang_7 po_12 
K02D0008_H0009:2a-0	'di skad bdag [dd] @2a [dd] #//	'di_0 skad_4 bdag_9 [dd]_14 [dd]_23 
K02D0008_H0009:2a-1	gis thos pa dus gcig na /	gis_0 thos_4 ba_9 dus_12 gcig_16 na_21 
K02D0008_H0009:2a-2	bcom ldan 'das rgyal po'i khab kyi ri /	'joms_0 ldan_5 'da'_10 rgyal_15 po_21 khab_26 kyi_31 ri_35 
K02D0008_H0009:2a-3	bya rgod phung po la dge slong lnga stong tsam	byed_0 rgod_4 'phung_9 po_15 la_18 dge_21 slong_25 lnga_31 stong_36 tsam_42 
K02D0008_H0009:2a-4	gyi dge slong gi dge 'dun chen po dang thabs	gyi_0 dge_4 slong_8 gi_14 dge_17 'dun_21 chen_26 po_31 dang_34 thabs_39 
K02D0008_H0009:2a-5	cig ste / thams cad kyang dgra bcom pa /	cig_0 ste_4 thams_10 cad_16 kyang_20 dgra_26 'joms_31 ba_36 
K02D0008_H0009:2a-6	zag pa zad pa /	zag_0 ba_4 zad_7 ba_11 
K02D0008_H0009:2a-7	nyon mongs pa med pa /	nyon_0 mongs_5 ba_11 med_14 ba_18 
K02D0008_H0009:2a-8	dbang du gyur pa /	dbang_0 du_6 gyur_9 ba_14 
K02D0008_H0009:2b-0	sems shin tu [dd] @2b rnam par grol ba /	sems_0 shin_5 tu_10 [dd]_13 rnam_22 ba_27 grol_31 ba_36 
K02D0008_H0009:2b-1	shes rab shin tu rnam par grol ba /	shes_0 rab_5 shin_9 tu_14 rnam_17 ba_22 grol_26 ba_31 
K02D0008_H0009:2b-2	cang shes pa /	cang_0 shes_5 ba_10 
K02D0008_H0009:2b-3	glang po chen po /	glang_0 po_6 chen_9 po_14 
K02D0008_H0009:2b-4	bya ba byas pa /	byed_0 ba_4 byed_7 ba_12 
K02D0008_H0009:2b-5	byed pa byas pa /	byed_0 ba_5 byed_8 ba_13 
