K05D0010_H0012:1b-0	@1b [dd] #//	[dd]_4 
K05D0010_H0012:1b-1	rgya gar skad [dd] du /	rgya_0 gar_5 skad_9 [dd]_14 du_19 
K05D0010_H0012:1b-2	a'arya aashta da sha sa [dd] ha sri k'a pradzny'a	a_0 aashta_7 da_14 sha_17 sa_21 [dd]_24 ha_29 sri_32 k_36 pradzny_40 
K05D0010_H0012:1b-3	p'a ra mi t'a n'a ma mah'a y'a na s'u	p_0 ra_4 mi_7 t_10 n_14 ma_18 mah_21 y_27 na_31 s_34 
K05D0010_H0012:1b-4	tra / bod skad du /	tra_0 'bod_6 skad_10 du_15 
K05D0010_H0012:1b-5	'phags pa shes rab kyi pha rol tu phyin pa	'phag_0 ba_7 shes_10 rab_15 kyi_19 pha_23 rol_27 tu_31 phyin_34 ba_40 
K05D0010_H0012:2a-0	khri brgyad stong pa zhes bya ba theg pa @2a	khri_0 brgyad_5 stong_12 ba_18 zhes_21 byed_26 ba_30 theg_33 ba_38 
K05D0010_H0012:2a-1	[dd] #// chen po'i mdo /	[dd]_0 chen_9 po_14 mdo_19 
K05D0010_H0012:2a-2	bam po dang po /	bam_0 po_4 dang_7 po_12 
K05D0010_H0012:2a-3	sangs rgyas dang byang chub sems [dd] dpa' thams cad la phyag 'tshal lo //	sangs_0 rgya_6 dang_12 byang_17 chub_23 sems_28 [dd]_33 dpa'_38 thams_43 cad_49 la_53 phyag_56 'tshal_62 lo_69 
K05D0010_H0012:2a-4	'di skad bdag gis thos pa dus gcig na /	'di_0 skad_4 bdag_9 gis_14 thos_18 ba_23 dus_26 gcig_30 na_35 
K05D0010_H0012:2a-5	bcom ldan 'das rgyal po'i khab na /	'joms_0 ldan_5 'da'_10 rgyal_15 po_21 khab_26 na_31 
K05D0010_H0012:2a-6	bya rgod kyi phung po'i ri la dge slong lnga	byed_0 rgod_4 kyi_9 'phung_13 po_19 ri_24 la_27 dge_30 slong_34 lnga_40 
K05D0010_H0012:2a-7	stong tsam gyi dge slong gi dge 'dun chen po	stong_0 tsam_6 gyi_11 dge_15 slong_19 gi_25 dge_28 'dun_32 chen_37 po_42 
K05D0010_H0012:2a-8	dang thabs cig tu bzhugs te /	dang_0 thabs_5 cig_11 tu_15 bzhugs_18 te_25 
K05D0010_H0012:2a-9	thams cad kyang dgra bcom pa zag pa zad pa	thams_0 cad_6 kyang_10 dgra_16 'joms_21 ba_26 zag_29 ba_33 zad_36 ba_40 
K05D0010_H0012:2a-10	nyon mongs pa med pa dbang dang ldan par gyur	nyon_0 mongs_5 ba_11 med_14 ba_18 dbang_21 dang_27 ldan_32 ba_37 gyur_41 
K05D0010_H0012:2b-0	pa sems shin tu @2b rnam par grol ba shes	ba_0 sems_3 shin_8 tu_13 rnam_20 ba_25 grol_29 ba_34 shes_37 
K05D0010_H0012:2b-1	rab shin tu rnam par grol ba /	rab_0 shin_4 tu_9 rnam_12 ba_17 grol_21 ba_26 
K05D0010_H0012:2b-2	cang shes pa /	cang_0 shes_5 ba_10 
K05D0010_H0012:2b-3	glang po chen po /	glang_0 po_6 chen_9 po_14 
K05D0010_H0012:2b-4	bya ba byas pa /	byed_0 ba_4 byed_7 ba_12 
K05D0010_H0012:2b-5	byed pa byas pa /	byed_0 ba_5 byed_8 ba_13 
K05D0010_H0012:2b-6	khur bor ba /	'khur_0 'bor_5 ba_9 
K05D0010_H0012:2b-7	bdag gi don rjes su thob pa /	bdag_0 gi_5 don_8 rjes_12 su_17 'thob_20 ba_25 
