K10D0181_H0182:1b-0	@1b [dd] #//	[dd]_4 
K10D0181_H0182:1b-1	rgya gar skad du /	rgya_0 gar_5 skad_9 du_14 
K10D0181_H0182:1b-2	a'arya panytsa p'a ra mi t'a ni rde sha n'a ma mah'a y'a [dd] na s'u tra /	a_0 panytsa_7 p_15 ra_19 mi_22 t_25 ni_29 rde_32 sha_36 n_40 ma_44 mah_47 y_53 [dd]_57 na_62 s_65 tra_69 
K10D0181_H0182:1b-3	bod skad du /	'bod_0 skad_4 du_9 
K10D0181_H0182:1b-4	'phags pa pha rol tu phyin pa lnga bstan pa zhes bya ba theg pa chen po'i mdo /	'phag_0 ba_7 pha_10 rol_14 tu_18 phyin_21 ba_27 lnga_30 ston_35 ba_41 zhes_44 byed_49 ba_53 theg_56 ba_61 chen_64 po_69 mdo_74 
K10D0181_H0182:1b-5	bam po dang po /	bam_0 po_4 dang_7 po_12 
K10D0181_H0182:1b-6	sangs rgyas dang /	sangs_0 rgya_6 dang_12 
K10D0181_H0182:1b-7	byang chub sems dpa' thams cad la phyag 'tshal lo //	byang_0 chub_6 sems_11 dpa'_16 thams_21 cad_27 la_31 phyag_34 'tshal_40 lo_47 
K10D0181_H0182:2a-0	'di skad bdag gis thos pa dus gcig @2a #//	'di_0 skad_4 bdag_9 gis_14 thos_18 ba_23 dus_26 gcig_30 
K10D0181_H0182:2a-1	na; bcom ldan 'das mnyan yod na rgyal bu rgyal	na;_0 'joms_4 ldan_9 'da'_14 nyan_19 yod_25 na_29 rgyal_32 bu_38 rgyal_41 
K10D0181_H0182:2a-2	byed kyi tshal mgon med zas sbyin gyi kun dga'	byed_0 kyi_5 tshal_9 mgon_15 med_20 zas_24 sbyin_28 gyi_34 kun_38 dga'_42 
K10D0181_H0182:2a-3	ra ba na / dge slong stong nyis brgya lnga bcu'i dge slong gi dge 'dun chen po /	ra_0 ba_3 na_6 dge_11 slong_15 stong_21 nyis_27 brgya_32 lnga_38 'chu_43 dge_49 slong_53 gi_59 dge_62 'dun_66 chen_71 po_76 
K10D0181_H0182:2a-4	thams cad kyang dgra bcom pa /	thams_0 cad_6 kyang_10 dgra_16 'joms_21 ba_26 
K10D0181_H0182:2a-5	zag pa zad pa /	zag_0 ba_4 zad_7 ba_11 
K10D0181_H0182:2a-6	nyon mongs pa med pa /	nyon_0 mongs_5 ba_11 med_14 ba_18 
K10D0181_H0182:2a-7	dbang dang ldan par gyur pa /	dbang_0 dang_6 ldan_11 ba_16 gyur_20 ba_25 
