K01D0001_H0001:1b-0	@1b [dd] #//	[dd]_4 
K01D0001_H0001:1b-1	rgya gar skad du /	rgya_0 gar_5 skad_9 du_14 
K01D0001_H0001:1b-2	[dd] bi na ya bastu /	[dd]_0 bi_5 na_8 ya_11 bastu_14 
K01D0001_H0001:1b-3	bod [dd] skad du /	'bod_0 [dd]_4 skad_9 du_14 
K01D0001_H0001:1b-4	'dul ba gzhi /	'dul_0 ba_5 gzhi_8 
K01D0001_H0001:1b-5	bam po dang po /	bam_0 po_4 dang_7 po_12 
K01D0001_H0001:1b-6	dkon mchog gsum la phyag 'tshal lo //	dkon(d)_0 mchog_5 gsum_11 la_16 phyag_19 'tshal_25 lo_32 
K01D0001_H0001:1b-7	gang gis 'ching rnams yang dag rab bcad cing //	gang_0 gis_5 'ching_9 rnams_16 yang_22 'dag_27 rab_31 gcod_35 cing_40 
K01D0001_H0001:2a-0	mu @2a [dd] #//	mu_0 [dd]_7 
K01D0001_H0001:2a-1	stegs tshogs rnams thams cad rab bcom ste //	stegs_0 tshogs_6 rnams_13 thams_19 cad_25 rab_29 'joms_33 ste_38 
K01D0001_H0001:2a-2	sde dang bcas pa'i bdud rnams nges bcom nas //	sde_0 dang_4 'cha'_9 ba_14 bdud_19 rnams_24 nges_30 'joms_35 nas_40 
K01D0001_H0001:2a-3	byang chub 'di brnyes de la phyag 'tshal lo //	byang_0 chub_6 'di_11 brnyes_15 de_22 la_25 phyag_28 'tshal_34 lo_41 
K01D0001_H0001:2a-4	khyim don che chung spangs te dang por rab 'byung dka'//	khyim_0 don_6 che_10 chung_14 spong_20 te_27 dang_30 por_35 rab_39 'byung_43 
K01D0001_H0001:2a-5	rab 'byung thob nas yul spyad dag gis dga' thob dka'//	rab_0 'byung_4 'thob_11 nas_16 yul_20 spyod_24 'dag_30 gis_34 dga'_38 'thob_43 
K01D0001_H0001:2a-6	mngon dga' ji bzhin don skyed yang dag byed pa dka'//	mngon_0 dga'_6 ji_11 bzhin_14 don_20 skyed_24 yang_30 'dag_35 byed_39 ba_44 
K01D0001_H0001:2a-7	ngur smrig gos 'chang mkhas pa tshul las nyams pa dka'//	ngur_0 smrig_5 gos_11 'chang_15 mkhas_22 ba_28 tshul_31 las_37 nyams_41 ba_47 
K01D0001_H0001:2a-8	gzhi rnams kyi spyi sdom la /	gzhi_0 rnams_5 kyi_11 spyi_15 sdom_20 la_25 
K01D0001_H0001:2b-0	rab byung [dd] @2b gso sbyong gzhi dang ni //	rab_0 'byung_4 [dd]_10 gso_19 sbyong_23 gzhi_30 dang_35 ni_40 
K01D0001_H0001:2b-1	dgag dbye dbyar dang ko lpags gzhi //	'gog_0 'byed_5 dbyar_10 dang_16 ko_21 lpags_24 gzhi_30 
K01D0001_H0001:2b-2	sman dang gos dang sra brkyang dang //	sman_0 dang_5 gos_10 dang_14 sra_19 rkyong_23 dang_31 
K01D0001_H0001:2b-3	ko'u sham bi dang las kyi gzhi //	ko_0 sham_5 bi_10 dang_13 las_18 kyi_22 gzhi_26 
K01D0001_H0001:2b-4	dmar ser can dang gang zag dang //	dmar_0 ser_5 can_9 dang_13 gang_18 zag_23 dang_27 
K01D0001_H0001:2b-5	spo dang gso sbyong gzhag pa dang //	spo_0 dang_4 gso_9 sbyong_13 'jog_20 ba_26 dang_29 
K01D0001_H0001:2b-6	gnas mal dang ni rtsod pa dang //	gnas_0 mal_5 dang_9 ni_14 rtsod_17 ba_23 dang_26 
K01D0001_H0001:2b-7	dge 'dun dbyen rnams bsdus pa yin //	dge_0 'dun_4 dbyen_9 rnams_15 sdud_21 ba_27 yin_30 
K01D0001_H0001:2b-8	rab tu 'byung ba'i gzhi'i spyi sdom la /	rab_0 tu_4 'byung_7 ba_14 gzhi_19 spyi_26 sdom_31 la_36 
K01D0001_H0001:2b-9	sh'a ri'i bu dang mu stegs can //	sh_0 ri_5 bu_10 dang_13 mu_18 stegs_21 can_27 
K01D0001_H0001:2b-10	dge tshul gnyis dang bya rog skrod //	dge_0 tshul_4 gnyis_10 dang_16 byed_21 rog_25 skrod_29 
K01D0001_H0001:2b-11	dgra bcom gsod dang lag rdum gyi //	dgra_0 'joms_5 gsod_10 dang_15 lag_20 rdum_24 gyi_29 
K01D0001_H0001:2b-12	sde tshan yang dag bsdus pa yin //	sde_0 tshan_4 yang_10 'dag_15 sdud_19 ba_25 yin_28 
K01D0001_H0001:2b-13	sdom la /	sdom_0 la_5 
K01D0001_H0001:2b-14	sh'a ri'i bu dang rab 'byung dang //	sh_0 ri_5 bu_10 dang_13 rab_18 'byung_22 dang_29 
K01D0001_H0001:2b-15	bsnyen par rdzogs par gnang ba dang //	snyen_0 ba_7 rdzogs_11 ba_18 gnang_22 ba_28 dang_31 
K01D0001_H0001:2b-16	nye sde tshogs ni bsdus pa dang //	nye_0 sde_4 tshogs_8 ni_15 sdud_18 ba_24 dang_27 
K01D0001_H0001:2b-17	lnga pa'i sde tshan bsdus pa yin //	lnga_0 ba_5 sde_10 tshan_14 sdud_20 ba_26 yin_29 
K01D0001_H0001:2b-18	byang chub sems dpa' dga' ldan gyi gnas na bzhugs pa na /	byang_0 chub_6 sems_11 dpa'_16 dga'_21 ldan_26 gyi_31 gnas_35 na_40 bzhugs_43 ba_50 na_53 
